domain_model,mse_loss
polynomial function:
oos_polymodel,0.025348687544465065
ins_polymodel,2.3828077246434987e-05
oos_standardmodel,nan
ins_standardmodel,0.2715967297554016
oos_powerseries,11340.169921875
ins_powerseries,6.586615199921653e-05
sine function:
oos_polymodel,0.7813786864280701
ins_polymodel,0.00013376945571508259
oos_standardmodel,nan
ins_standardmodel,0.10221929848194122
oos_powerseries,13583.2109375
ins_powerseries,7.888019899837673e-05
cosine function:
oos_polymodel,1.4636526107788086
ins_polymodel,0.0014466674765571952
oos_standardmodel,nan
ins_standardmodel,0.21627187728881836
oos_powerseries,4744.48681640625
ins_powerseries,2.7556030545383692e-05
exp function:
oos_polymodel,3.2010302543640137
ins_polymodel,20.447834014892578
oos_standardmodel,nan
ins_standardmodel,22.21866226196289
oos_powerseries,11016.5849609375
ins_powerseries,20.485876083374023
log function:
oos_polymodel,inf
ins_polymodel,7.981542148627341e-05
oos_standardmodel,nan
ins_standardmodel,0.02883448638021946
oos_powerseries,inf
ins_powerseries,2.5872923288261518e-05
